Active VC,ZAWL Stock,RAS Stock,Regional stock,Plant stock,PPL,FUEL,Trim,Color,AMT/ MT,EX-SHOWROOM,Consumer Discount,Green Bonus,Existing TATA ICE user,Existing TATA EV user,Intervention,Exchange/Scrappage,Unknown w ,Unknown x,Unknown y,Unknown z ,Top 20 Corporate/Alliance,TOI/Rural govt/Top 10,Aditional discount,Final Billing Price,INSURANCE 75%,By Dealer,Self,Normal RTO,TRC,BH,TCS @ 1%,Fastag,On Road Price
54710926AIJR,,,Yes,,Curvv,Diesel,Curvv Creative S DCA 1.5,PRISTINE WHITE,DCA,1599990,0,0,0,0,0,45000,0,0,0,0,0,0,,1554990,53309,35000,0,221946.9884,200,15000,16000,600,1897045.988
54710926AL1R,,,,Yes,Curvv,Diesel,Curvv Creative S DCA 1.5,FLAME RED,DCA,1599990,0,0,0,0,0,45000,0,0,0,0,0,0,,1554990,53309,35000,0,221946.9884,200,15000,16000,600,1897045.988
54710926AL3R,,,,Yes,Curvv,Diesel,Curvv Creative S DCA 1.5,DAYTONA GREY,DCA,1599990,0,0,0,0,0,45000,0,0,0,0,0,0,,1554990,53309,35000,0,221946.9884,200,15000,16000,600,1897045.988
54710926AM3R,,,,Yes,Curvv,Diesel,Curvv Creative S DCA 1.5,OPERA BLUE,DCA,1599990,0,0,0,0,0,45000,0,0,0,0,0,0,,1554990,53309,35000,0,221946.9884,200,15000,16000,600,1897045.988
54715025AIJR,,,Yes,Yes,Curvv,Diesel,CURVV CRTV S DMT,PRISTIN_WHTE,MT,1449990,0,0,0,0,0,45000,0,0,0,0,0,0,,1404990,49832,35000,0,201702.056,200,15000,14500,600,1721824.056
54715025AL1R,,,,Yes,Curvv,Diesel,CURVV CRTV S DMT,FLAME_RED,MT,1449990,0,0,0,0,0,45000,0,0,0,0,0,0,,1404990,49832,35000,0,201702.056,200,15000,14500,600,1721824.056
54715025AL3R,,,,Yes,Curvv,Diesel,CURVV CRTV S DMT,DAYTONA_GREY,MT,1449990,0,0,0,0,0,45000,0,0,0,0,0,0,,1404990,49832,35000,0,201702.056,200,15000,14500,600,1721824.056
54715025AM3R,,,,Yes,Curvv,Diesel,CURVV CRTV S DMT,BLUE_VENTURE,MT,1449990,0,0,0,0,0,45000,0,0,0,0,0,0,,1404990,49832,35000,0,201702.056,200,15000,14500,600,1721824.056
54715225AIJR,,,Yes,Yes,Curvv,Diesel,CURVV PURE + DMT,PRISTIN_WHTE,MT,1279990,0,0,0,0,0,45000,0,0,0,0,0,0,,1234990,45891,35000,0,178759.2547,200,15000,12800,600,1523240.255
54715225AL1R,,,,Yes,Curvv,Diesel,CURVV PURE + DMT,FLAME_RED,MT,1279990,0,0,0,0,0,45000,0,0,0,0,0,0,,1234990,45891,35000,0,178759.2547,200,15000,12800,600,1523240.255
54715225AL3R,,Yes,Yes,Yes,Curvv,Diesel,CURVV PURE + DMT,DAYTONA_GREY,MT,1279990,0,0,0,0,0,45000,0,0,0,0,0,0,,1234990,45891,35000,0,178759.2547,200,15000,12800,600,1523240.255
54715225AM3R,,,Yes,Yes,Curvv,Diesel,CURVV PURE + DMT,BLUE_VENTURE,MT,1279990,0,0,0,0,0,45000,0,0,0,0,0,0,,1234990,45891,35000,0,178759.2547,200,15000,12800,600,1523240.255
54715325AIJR,,,Yes,,Curvv,Diesel,CURVV PURE + S DMT,PRISTIN_WHTE,MT,1349990,0,0,0,0,0,45000,0,0,0,0,0,0,,1304990,47516,35000,0,188205.9797,200,15000,13500,600,1605011.98
54715325AL1R,,,,Yes,Curvv,Diesel,CURVV PURE + S DMT,FLAME_RED,MT,1349990,0,0,0,0,0,45000,0,0,0,0,0,0,,1304990,47516,35000,0,188205.9797,200,15000,13500,600,1605011.98
54715325AL3R,,,,Yes,Curvv,Diesel,CURVV PURE + S DMT,DAYTONA_GREY,MT,1349990,0,0,0,0,0,45000,0,0,0,0,0,0,,1304990,47516,35000,0,188205.9797,200,15000,13500,600,1605011.98
54715325AM3R,,,,Yes,Curvv,Diesel,CURVV PURE + S DMT,BLUE_VENTURE,MT,1349990,0,0,0,0,0,45000,0,0,0,0,0,0,,1304990,47516,35000,0,188205.9797,200,15000,13500,600,1605011.98
54715625AKUR,,Yes,Yes,Yes,Curvv,Diesel,CURVV CRTV + S DMT,PRSNWT_BKONX,MT,1549990,0,0,0,0,0,45000,0,0,0,0,0,0,,1504990,52152,35000,0,215198.5936,200,15000,15500,600,1838640.594
54715625ANGR,,,,Yes,Curvv,Diesel,CURVV CRTV + S DMT,BLUVTR_BKONX,MT,1549990,0,0,0,0,0,45000,0,0,0,0,0,0,,1504990,52152,35000,0,215198.5936,200,15000,15500,600,1838640.594
